,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Jamestown,US,42.097,-79.2353,80.02,42,0,10.36,clear sky
79,Joaima,BR,-16.6542,-41.0306,71.15,61,27,3.74,scattered clouds
80,Caravelas,BR,-17.7125,-39.2481,71.01,79,4,5.46,clear sky
81,Solenzo,BF,12.1833,-4.0833,79.25,76,92,8.66,overcast clouds
82,Kavieng,PG,-2.5744,150.7967,81.48,77,78,10.18,broken clouds
83,Pucallpa,PE,-8.3791,-74.5539,89.26,49,97,3.33,overcast clouds
84,Butaritari,KI,3.0707,172.7902,81.54,82,100,19.46,moderate rain
85,Komsomolskiy,UZ,40.4272,71.7189,79.52,19,0,1.77,clear sky
86,Vao,NC,-22.6667,167.4833,68.76,61,2,19.44,clear sky
87,Tiksi,RU,71.6872,128.8694,39.63,88,94,6.67,overcast clouds
88,Mataura,NZ,-46.1927,168.8643,35.47,96,91,3.74,overcast clouds
89,Yaan,NG,7.3833,8.5667,72.03,96,100,6.44,moderate rain
90,Consolacion Del Sur,CU,22.5047,-83.5136,84.25,61,99,3.96,overcast clouds
91,Dikson,RU,73.5069,80.5464,47.44,71,100,5.1,overcast clouds
92,Faanui,PF,-16.4833,-151.75,77.83,59,76,19.6,broken clouds
93,Port Blair,IN,11.6667,92.75,80.17,84,100,6.51,heavy intensity rain
94,Norman Wells,CA,65.282,-126.8329,61.47,48,95,4.52,overcast clouds
95,Thompson,CA,55.7435,-97.8558,85.93,23,100,10.94,overcast clouds
96,Hobart,AU,-42.8794,147.3294,47.23,85,75,9.22,moderate rain
97,Yining,CN,29.0361,114.5636,78.08,84,100,2.3,overcast clouds
98,Sorland,NO,67.667,12.6934,48.06,81,100,11.01,overcast clouds
99,Murgab,TM,37.4966,61.9714,82.89,14,0,9.78,clear sky
100,Tarauaca,BR,-8.1614,-70.7656,84.13,65,92,2.19,overcast clouds
101,Chandbali,IN,20.7833,86.7667,82.17,86,27,2.62,scattered clouds
102,Lincoln,US,40.8,-96.667,99.14,63,83,10.0,broken clouds
103,Chancay,PE,-11.5714,-77.2672,62.31,78,50,12.15,scattered clouds
104,Te Anau,NZ,-45.4167,167.7167,32.23,91,56,1.43,broken clouds
105,Mocuba,MZ,-16.8392,36.9856,59.2,91,1,4.03,clear sky
106,Mbouda,CM,5.6258,10.2552,62.26,97,98,4.47,overcast clouds
107,Kiama,AU,-34.6833,150.8667,46.26,74,86,1.99,overcast clouds
108,Peniche,PT,39.3558,-9.3811,70.09,87,43,7.43,scattered clouds
109,Gizo,SB,-8.103,156.8419,81.55,78,45,15.82,moderate rain
110,Khatanga,RU,71.9667,102.5,53.69,64,18,5.28,few clouds
111,Mahajanga,MG,-15.7167,46.3167,69.46,75,9,5.57,clear sky
112,Atuona,PF,-9.8,-139.0333,76.69,75,1,13.09,clear sky
113,Upernavik,GL,72.7868,-56.1549,49.44,59,0,6.06,clear sky
114,Port Lincoln,AU,-34.7333,135.8667,54.14,45,99,22.75,overcast clouds
115,Mehamn,NO,71.0357,27.8492,57.15,77,0,4.61,clear sky
116,Keti Bandar,PK,24.1447,67.4497,82.2,85,99,19.39,moderate rain
117,Nantucket,US,41.2835,-70.0995,78.01,81,100,6.8,overcast clouds
118,Anadyr,RU,64.75,177.4833,50.0,66,79,11.01,broken clouds
119,Jutiapa,GT,14.2833,-89.9,88.88,61,89,4.97,overcast clouds
120,Talagang,PK,32.9297,72.4158,84.15,66,0,0.6,clear sky
121,Orlik,RU,52.5178,99.825,37.96,94,24,0.31,few clouds
122,Maniitsoq,GL,65.4167,-52.9,39.96,88,99,7.9,overcast clouds
123,Isangel,VU,-19.55,169.2667,72.14,71,100,18.14,overcast clouds
124,Lorengau,PG,-2.0226,147.2712,80.08,78,91,9.95,overcast clouds
125,Chernyshkovskiy,RU,48.4219,42.2308,67.91,58,0,2.71,clear sky
126,Nouakchott,MR,18.0858,-15.9785,78.73,84,3,13.65,clear sky
127,Constitucion,CL,-35.3333,-72.4167,45.21,86,100,9.35,overcast clouds
128,Mirabad,AF,30.4362,61.8383,92.08,11,31,16.8,scattered clouds
129,Saskylakh,RU,71.9167,114.0833,50.59,60,32,1.7,scattered clouds
130,Saint-Pierre,RE,-21.3393,55.4781,66.9,76,75,4.61,broken clouds
131,Sao Pedro Do Sul,BR,-29.6206,-54.1789,67.15,83,59,6.53,broken clouds
132,Doha,QA,25.2867,51.5333,91.38,79,35,6.91,scattered clouds
133,Faya,SA,18.3851,42.4509,70.32,42,91,1.92,light rain
134,San Luis,AR,-33.295,-66.3356,35.73,98,100,8.52,moderate rain
135,Andenes,NO,69.3143,16.1194,49.98,87,75,8.05,light rain
136,Dudinka,RU,69.4058,86.1778,51.03,75,22,9.28,few clouds
137,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.02,76,15,14.2,few clouds
138,Raymondville,US,26.4815,-97.7831,93.31,56,90,16.11,overcast clouds
139,Saint George,US,37.1041,-113.5841,100.94,23,0,4.0,clear sky
